chr	start	end	type	nhaps
1	1408453	1421924	intergenic	13
1	1421925	1422634	genic	2
1	1421925	1422634	genic-original	2
1	1422635	1423172	intergenic	6
1	1423173	1425645	genic	7
1	1423173	1425645	genic-original	7
1	1425646	1428511	intergenic	11
1	1428512	1431127	genic	8
1	1428512	1431127	genic-original	8
1	1431128	1458186	intergenic	13
1	1458187	1483187	intergenic	13
1	1483188	1536777	intergenic	13
1	1536778	1585248	intergenic	14
1	1585249	1586524	genic	5
1	1585249	1586524	genic-original	5
1	1586525	1653978	intergenic	14
1	1653979	1662303	genic	7
1	1653979	1662303	genic-original	7
1	1662304	1695084	intergenic	15
1	1695085	1696194	genic	8
1	1695085	1699521	genic-original	10
1	1696195	1697303	genic	7
1	1697304	1698412	genic	7
1	1698413	1699521	genic	9
1	1699522	1763897	intergenic	15
1	1763898	1765411	genic	7
1	1763898	1788113	genic-original	12
1	1765412	1766924	genic	7
1	1766925	1768438	genic	7
1	1768439	1769951	genic	11
1	1769952	1771465	genic	8
1	1771466	1780546	genic	12
1	1780547	1782059	genic	10
1	1782060	1783573	genic	10
1	1783574	1785086	genic	9
1	1785087	1786600	genic	9
1	1786601	1788113	genic	10
1	1788114	1834409	intergenic	14
1	1834410	1836366	genic	9
1	1834410	1838323	genic-original	12
1	1836367	1838323	genic	9
1	1838324	1898397	intergenic	12
1	1898398	1898852	genic	5
1	1898398	1898852	genic-original	5
1	1898853	1932247	intergenic	14
1	1932248	1982247	intergenic	11
1	1982248	2015643	intergenic	18
1	2015644	2022559	genic	18
1	2015644	2022559	genic-original	18
1	2022560	2053473	intergenic	18
1	2053474	2078474	intergenic	18
1	2078475	2104025	intergenic	18
1	2104026	2282290	intergenic	18
1	2282291	2307291	intergenic	18
1	2307292	2335496	intergenic	18
1	2335497	2335921	genic	18
1	2335497	2335921	genic-original	18
1	2335922	2392599	intergenic	13
1	2392600	2394045	genic	5
1	2392600	2394045	genic-original	5
1	2394046	2483537	intergenic	15
1	2483538	2486336	genic	7
1	2483538	2486336	genic-original	7
1	2486337	2487474	intergenic	11
1	2487475	2497762	genic	3
1	2487475	2497762	genic-original	3
1	2497763	2586253	intergenic	16
1	2586254	2588182	genic	8
1	2586254	2602262	genic-original	14
1	2588183	2590111	genic	9
1	2590112	2602262	genic	14
1	2602263	2608974	intergenic	15
1	2608975	2609896	genic	3
1	2608975	2609896	genic-original	3
1	2609897	2641889	intergenic	12
1	2641890	2666890	intergenic	15
1	2666891	2716890	intergenic	14
1	2716891	2741891	intergenic	12
1	2741892	2773885	intergenic	14
1	2773886	2774873	genic	18
1	2773886	2774873	genic-original	18
1	2774874	2840764	intergenic	13
1	2840765	2841778	genic	6
1	2840765	2842792	genic-original	10
1	2841779	2842792	genic	10
1	2842793	2843175	intergenic	6
1	2843176	2844256	genic	6
1	2843176	2847499	genic-original	15
1	2844257	2845337	genic	15
1	2845338	2846418	genic	7
1	2846419	2847499	genic	7
1	2847500	2928103	intergenic	16
1	2928104	2958708	intergenic	16
1	2958709	2959714	genic	7
1	2958709	2974796	genic-original	13
1	2959715	2960719	genic	9
1	2960720	2961725	genic	10
1	2961726	2962730	genic	6
1	2962731	2963736	genic	3
1	2963737	2964741	genic	6
1	2964742	2965747	genic	4
1	2965748	2966752	genic	5
1	2966753	2967758	genic	5
1	2967759	2968763	genic	6
1	2968764	2969769	genic	6
1	2969770	2970774	genic	6
1	2970775	2971780	genic	4
1	2971781	2972785	genic	5
1	2972786	2973791	genic	4
1	2973792	2974796	genic	4
1	2974797	2989449	intergenic	13
1	2989450	2990669	genic	5
1	2989450	2994326	genic-original	11
1	2990670	2991888	genic	5
1	2991889	2993107	genic	5
1	2993108	2994326	genic	6
1	2994327	2996152	intergenic	13
1	2996153	2997065	genic	5
1	2996153	2997065	genic-original	5
1	2997066	3029649	intergenic	15
1	3029650	3054650	intergenic	14
1	3054651	3111250	intergenic	15
1	3111251	3139971	intergenic	14
1	3139972	3175436	intergenic	15
1	3175437	3178179	genic	7
1	3175437	3178179	genic-original	7
1	3178180	3205754	intergenic	14
1	3205755	3230755	intergenic	18
1	3230756	3255756	intergenic	18
1	3255757	3305756	intergenic	18
1	3305757	3330757	intergenic	17
1	3330758	3355758	intergenic	15
1	3355759	3383334	intergenic	15
1	3383335	3384581	genic	6
1	3383335	3384581	genic-original	6
1	3384582	3448146	intergenic	14
1	3448147	3449350	genic	9
1	3448147	3450554	genic-original	12
1	3449351	3450554	genic	8
1	3450555	3467865	intergenic	16
1	3467866	3469105	genic	6
1	3467866	3477784	genic-original	13
1	3469106	3470345	genic	6
1	3470346	3471585	genic	7
1	3471586	3475305	genic	18
1	3475306	3476545	genic	8
1	3476546	3477784	genic	9
1	3477785	3511208	intergenic	14
1	3511209	3512538	genic	12
1	3511209	3512538	genic-original	12
1	3512539	3551237	intergenic	14
1	3551238	3576238	intergenic	18
1	3576239	3626238	intergenic	18
1	3626239	3651239	intergenic	18
1	3651240	3689938	intergenic	16
1	3689939	3691701	genic	11
1	3689939	3693463	genic-original	11
1	3691702	3693463	genic	8
1	3693464	3753557	intergenic	16
1	3753558	3754844	genic	8
1	3753558	3763853	genic-original	13
1	3754845	3756131	genic	7
1	3756132	3757418	genic	11
1	3757419	3758705	genic	11
1	3758706	3759992	genic	7
1	3759993	3761279	genic	9
1	3761280	3762566	genic	8
1	3762567	3763853	genic	10
1	3763854	3856594	intergenic	18
1	3856595	3891656	intergenic	18
1	3891657	3899535	genic	18
1	3891657	3899535	genic-original	18
1	3899536	3941010	intergenic	18
1	3941011	4482503	intergenic	18
1	4482504	4482917	genic	18
1	4482504	4482917	genic-original	18
1	4482918	4518129	intergenic	18
1	4518130	4578029	intergenic	18
1	4578030	4620622	intergenic	18
1	4620623	4629042	genic	18
1	4620623	4629042	genic-original	18
1	4629043	4679753	intergenic	18
1	4679754	4704754	intergenic	18
1	4704755	4729755	intergenic	18
1	4729756	4754756	intergenic	18
1	4754757	4779757	intergenic	18
1	4779758	4804758	intergenic	18
1	4804759	4829759	intergenic	18
1	4829760	5415800	intergenic	18
1	5415801	5440851	intergenic	18
1	5440852	5522454	intergenic	18
1	5522455	5547455	intergenic	18
1	5547456	5572456	intergenic	18
1	5572457	5597457	intergenic	18
1	5597458	5622458	intergenic	18
1	5622459	5697731	intergenic	18
1	5697732	5734382	intergenic	18
1	5734383	5745710	genic	18
1	5734383	5745710	genic-original	18
1	5745711	5809965	intergenic	18
1	5809966	6184980	intergenic	18
1	6184981	6209981	intergenic	18
1	6209982	6234982	intergenic	18
1	6234983	6259983	intergenic	18
1	6259984	6284984	intergenic	18
1	6284985	6309985	intergenic	18
1	6309986	6334986	intergenic	18
1	6334987	6359987	intergenic	18
1	6359988	6384988	intergenic	18
1	6384989	6409989	intergenic	18
1	6409990	6434990	intergenic	18
1	6434991	6459991	intergenic	18
1	6459992	6484992	intergenic	18
1	6484993	6619835	intergenic	18
1	6619836	6644836	intergenic	18
1	6644837	6669837	intergenic	18
1	6669838	6877605	intergenic	18
1	6877606	6902606	intergenic	18
1	6902607	7108424	intergenic	18
1	7108425	7133425	intergenic	18
1	7133426	7158426	intergenic	18
1	7158427	7183427	intergenic	18
1	7183428	7208428	intergenic	18
1	7208429	7443960	intergenic	17
1	7443961	7444744	genic	10
1	7443961	7444744	genic-original	10
1	7444745	7454244	intergenic	16
1	7454245	7459322	genic	9
1	7454245	7459322	genic-original	9
1	7459323	7476768	intergenic	12
1	7476769	7477654	genic	10
1	7476769	7477654	genic-original	10
1	7477655	7479460	intergenic	8
1	7479461	7480704	genic	6
1	7479461	7494312	genic-original	12
1	7480705	7481947	genic	6
1	7481948	7483191	genic	4
1	7483192	7484434	genic	4
1	7484435	7489373	genic	2
1	7489374	7490608	genic	5
1	7490609	7491843	genic	4
1	7491844	7493078	genic	5
1	7493079	7494312	genic	5
1	7494313	7524769	intergenic	13
1	7524770	7526606	genic	4
1	7524770	7532922	genic-original	12
1	7526607	7528442	genic	4
1	7528443	7530682	genic	10
1	7530683	7531802	genic	8
1	7531803	7532922	genic	4
1	7532923	7562484	intergenic	12
1	7562485	7563692	genic	10
1	7562485	7563692	genic-original	10
1	7563693	7610967	intergenic	14
1	7610968	7660967	intergenic	15
1	7660968	7708243	intergenic	13
1	7708244	7709550	genic	11
1	7708244	7710857	genic-original	11
1	7709551	7710857	genic	5
1	7710858	7751710	intergenic	12
1	7751711	7753370	genic	9
1	7751711	7755029	genic-original	10
1	7753371	7755029	genic	9
1	7755030	7819796	intergenic	11
1	7819797	7823143	genic	8
1	7819797	7823143	genic-original	8
1	7823144	7837174	intergenic	11
1	7837175	7839726	genic	7
1	7837175	7839726	genic-original	7
1	7839727	7844225	intergenic	10
1	7844226	7845298	genic	3
1	7844226	7852807	genic-original	11
1	7845299	7846371	genic	9
1	7846372	7847444	genic	10
1	7847445	7848516	genic	7
1	7848517	7849589	genic	7
1	7849590	7850662	genic	5
1	7850663	7851735	genic	5
1	7851736	7852807	genic	5
1	7852808	7878626	intergenic	11
1	7878627	7880262	genic	6
1	7878627	7885170	genic-original	10
1	7880263	7881898	genic	5
1	7881899	7883534	genic	7
1	7883535	7885170	genic	7
1	7885171	7984991	intergenic	16
1	7984992	7986689	genic	9
1	7984992	7988387	genic-original	12
1	7986690	7988387	genic	10
1	7988388	8008092	intergenic	13
1	8008093	8009561	genic	6
1	8008093	8009561	genic-original	6
1	8009562	8055431	intergenic	11
1	8055432	8056154	genic	3
1	8055432	8056154	genic-original	3
1	8056155	8076633	intergenic	12
1	8076634	8081414	genic	9
1	8076634	8081414	genic-original	9
1	8081415	8102395	intergenic	15
1	8102396	8103575	genic	9
1	8102396	8103575	genic-original	9
1	8103576	8112006	intergenic	10
1	8112007	8113553	genic	5
1	8112007	8113553	genic-original	5
1	8113554	8144764	intergenic	12
1	8144765	8194764	intergenic	12
1	8194765	8225975	intergenic	10
1	8225976	8228822	genic	8
1	8225976	8228822	genic-original	8
1	8228823	8276105	intergenic	12
1	8276106	8326105	intergenic	11
1	8326106	8373388	intergenic	12
1	8373389	8374816	genic	7
1	8373389	8379098	genic-original	10
1	8374817	8376243	genic	6
1	8376244	8377671	genic	9
1	8377672	8379098	genic	6
1	8379099	8420663	intergenic	10
1	8420664	8421441	genic	6
1	8420664	8421441	genic-original	6
1	8421442	8457818	intergenic	12
1	8457819	8458297	genic	4
1	8457819	8458297	genic-original	4
1	8458298	8500670	intergenic	12
1	8500671	8550670	intergenic	14
1	8550671	8593044	intergenic	10
1	8593045	8594891	genic	6
1	8593045	8607541	genic-original	10
1	8594892	8607541	genic	9
1	8607542	8655891	intergenic	16
1	8655892	8657058	genic	8
1	8655892	8658224	genic-original	10
1	8657059	8658224	genic	8
1	8658225	8658543	intergenic	5
1	8658544	8663309	genic	8
1	8658544	8663309	genic-original	8
1	8663310	8704103	intergenic	11
1	8704104	8706605	genic	6
1	8704104	8706605	genic-original	6
1	8706606	8737081	intergenic	13
1	8737082	8745326	genic	13
1	8737082	8786267	genic-original	15
1	8745327	8753500	genic	6
1	8753501	8754522	genic	6
1	8754523	8755544	genic	5
1	8755545	8757587	genic	11
1	8757588	8758609	genic	6
1	8758610	8759631	genic	6
1	8759632	8760653	genic	7
1	8760654	8761674	genic	9
1	8761675	8763212	genic	12
1	8763213	8764749	genic	9
1	8764750	8766286	genic	9
1	8766287	8767823	genic	8
1	8767824	8769360	genic	8
1	8769361	8770897	genic	10
1	8770898	8772434	genic	7
1	8772435	8773971	genic	9
1	8773972	8775508	genic	7
1	8775509	8777045	genic	7
1	8777046	8778582	genic	14
1	8778583	8780119	genic	14
1	8780120	8781656	genic	9
1	8781657	8783193	genic	8
1	8783194	8784730	genic	9
1	8784731	8786267	genic	9
1	8786268	8795068	intergenic	10
1	8795069	8796911	genic	10
1	8795069	8796911	genic-original	10
1	8796912	8797455	intergenic	6
1	8797456	8802518	genic	8
1	8797456	8802518	genic-original	8
1	8802519	8810523	intergenic	13
1	8810524	8811661	genic	12
1	8810524	8819627	genic-original	12
1	8811662	8812799	genic	11
1	8812800	8813937	genic	4
1	8813938	8815075	genic	4
1	8815076	8816213	genic	4
1	8816214	8817351	genic	5
1	8817352	8818489	genic	5
1	8818490	8819627	genic	8
1	8819628	8853718	intergenic	13
1	8853719	8857206	genic	9
1	8853719	8857206	genic-original	9
1	8857207	8877774	intergenic	15
1	8877775	8878459	genic	6
1	8877775	8878459	genic-original	6
1	8878460	8885050	intergenic	11
1	8885051	8890088	genic	7
1	8885051	8890088	genic-original	7
1	8890089	8939530	intergenic	14
1	8939531	8941479	genic	7
1	8939531	8943428	genic-original	10
1	8941480	8943428	genic	8
1	8943429	8948294	intergenic	9
1	8948295	8949932	genic	8
1	8948295	8954843	genic-original	10
1	8949933	8951569	genic	7
1	8951570	8953206	genic	6
1	8953207	8954843	genic	7
1	8954844	9037071	intergenic	15
1	9037072	9039185	genic	5
1	9037072	9039185	genic-original	5
1	9039186	9085659	intergenic	15
1	9085660	9087295	genic	8
1	9085660	9088930	genic-original	10
1	9087296	9088930	genic	7
1	9088931	9138925	intergenic	13
1	9138926	9171476	intergenic	14
1	9171477	9246477	intergenic	16
1	9246478	9271478	intergenic	13
1	9271479	9304022	intergenic	16
1	9304023	9305053	genic	6
1	9304023	9305053	genic-original	6
1	9305054	9401169	intergenic	15
1	9401170	9402412	genic	10
1	9401170	9403655	genic-original	12
1	9402413	9403655	genic	9
1	9403656	9464262	intergenic	16
1	9464263	9466084	genic	11
1	9464263	9466084	genic-original	11
1	9466085	9501987	intergenic	12
1	9501988	9503247	genic	6
1	9501988	9507025	genic-original	11
1	9503248	9504506	genic	7
1	9504507	9505766	genic	5
1	9505767	9507025	genic	10
1	9507026	9529602	intergenic	11
1	9529603	9530908	genic	6
1	9529603	9530908	genic-original	6
1	9530909	9555524	intergenic	13
1	9555525	9556949	genic	5
1	9555525	9556949	genic-original	5
1	9556950	9576340	intergenic	12
1	9576341	9578116	genic	10
1	9576341	9579892	genic-original	10
1	9578117	9579892	genic	8
1	9579893	9580754	intergenic	4
1	9580755	9581902	genic	8
1	9580755	9585344	genic-original	10
1	9581903	9583049	genic	6
1	9583050	9584197	genic	9
1	9584198	9585344	genic	4
1	9585345	9644841	intergenic	12
1	9644842	9646657	genic	7
1	9644842	9646657	genic-original	7
1	9646658	9664933	intergenic	11
1	9664934	9666053	genic	8
1	9664934	9666053	genic-original	8
1	9666054	9699142	intergenic	14
1	9699143	9849146	intergenic	14
1	9849147	9882235	intergenic	14
1	9882236	9882797	genic	18
1	9882236	9882797	genic-original	18
1	9882798	9941936	intergenic	18
1	9941937	9942689	genic	18
1	9941937	9942689	genic-original	18
1	9942690	9998092	intergenic	12
1	9998093	10000519	genic	8
1	9998093	10000519	genic-original	8
1	10000520	10001654	intergenic	10
1	10001655	10006682	genic	9
1	10001655	10006682	genic-original	9
1	10006683	10067841	intergenic	14
1	10067842	10069193	genic	4
1	10067842	10069193	genic-original	4
1	10069194	10101429	intergenic	15
1	10101430	10103256	genic	7
1	10101430	10105083	genic-original	10
1	10103257	10105083	genic	10
1	10105084	10115990	intergenic	14
1	10115991	10118812	genic	4
1	10115991	10118812	genic-original	4
1	10118813	10163157	intergenic	12
1	10163158	10164500	genic	6
1	10163158	10164500	genic-original	6
1	10164501	10202026	intergenic	13
1	10202027	10206356	genic	9
1	10202027	10206356	genic-original	9
1	10206357	10248748	intergenic	14
1	10248749	10250276	genic	10
1	10248749	10250276	genic-original	10
1	10250277	10256351	intergenic	13
1	10256352	10271725	genic	4
1	10256352	10271725	genic-original	4
1	10271726	10291258	intergenic	16
1	10291259	10291655	genic	18
1	10291259	10291655	genic-original	18
1	10291656	10303540	intergenic	18
1	10303541	10310211	genic	18
1	10303541	10310211	genic-original	18
1	10310212	10315666	intergenic	11
1	10315667	10316280	genic	4
1	10315667	10316280	genic-original	4
1	10316281	10319989	intergenic	15
1	10319990	10321884	genic	9
1	10319990	10321884	genic-original	9
1	10321885	10338261	intergenic	13
1	10338262	10341065	genic	9
1	10338262	10341065	genic-original	9
1	10341066	10394437	intergenic	14
1	10394438	10396566	genic	9
1	10394438	10396566	genic-original	9
1	10396567	10403371	intergenic	13
1	10403372	10405375	genic	8
1	10403372	10405375	genic-original	8
1	10405376	10426489	intergenic	11
1	10426490	10428029	genic	9
1	10426490	10432647	genic-original	11
1	10428030	10429568	genic	6
1	10429569	10431108	genic	7
1	10431109	10432647	genic	8
1	10432648	10452971	intergenic	13
1	10452972	10454443	genic	5
1	10452972	10455915	genic-original	10
1	10454444	10455915	genic	9
1	10455916	10463179	intergenic	13
1	10463180	10463793	genic	18
1	10463180	10463793	genic-original	18
1	10463794	10492178	intergenic	14
1	10492179	10492699	genic	8
1	10492179	10492699	genic-original	8
1	10492700	10493144	intergenic	10
1	10493145	10494620	genic	11
1	10493145	10496096	genic-original	11
1	10494621	10496096	genic	9
1	10496097	10524659	intergenic	11
1	10524660	10525216	genic	9
1	10524660	10525216	genic-original	9
1	10525217	10549794	intergenic	15
1	10549795	10550825	genic	11
1	10549795	10551855	genic-original	11
1	10550826	10551855	genic	9
1	10551856	10584886	intergenic	13
1	10584887	10585994	genic	8
1	10584887	10589315	genic-original	12
1	10585995	10587101	genic	9
1	10587102	10588208	genic	6
1	10588209	10589315	genic	5
1	10589316	10618425	intergenic	12
1	10618426	10620041	genic	18
1	10618426	10644270	genic-original	11
1	10620042	10621656	genic	8
1	10621657	10623272	genic	9
1	10623273	10624887	genic	8
1	10624888	10626503	genic	9
1	10626504	10628118	genic	8
1	10628119	10629733	genic	8
1	10629734	10631348	genic	7
1	10631349	10633121	genic	6
1	10633122	10634894	genic	6
1	10634895	10644270	genic	7
1	10644271	10653558	intergenic	9
1	10653559	10655157	genic	10
1	10653559	10659951	genic-original	12
1	10655158	10656755	genic	6
1	10656756	10658353	genic	7
1	10658354	10659951	genic	7
1	10659952	10696866	intergenic	15
1	10696867	10746866	intergenic	18
1	10746867	10783782	intergenic	15
1	10783783	10784919	genic	8
1	10783783	10784919	genic-original	8
1	10784920	10872366	intergenic	13
1	10872367	10873726	genic	6
1	10872367	10873726	genic-original	6
1	10873727	10896022	intergenic	11
1	10896023	10897513	genic	18
1	10896023	10901985	genic-original	10
1	10897514	10899004	genic	9
1	10899005	10900495	genic	8
1	10900496	10901985	genic	8
1	10901986	10929068	intergenic	11
1	10929069	10929468	genic	7
1	10929069	10929468	genic-original	7
1	10929469	10951033	intergenic	14
1	10951034	10951539	genic	5
1	10951034	10951539	genic-original	5
1	10951540	10973454	intergenic	11
1	10973455	10974922	genic	7
1	10973455	10979326	genic-original	12
1	10974923	10976390	genic	6
1	10976391	10977858	genic	9
1	10977859	10979326	genic	8
1	10979327	10987103	intergenic	12
1	10987104	10989449	genic	4
1	10987104	10989449	genic-original	4
1	10989450	11007288	intergenic	11
1	11007289	11008533	genic	7
1	11007289	11009777	genic-original	12
1	11008534	11009777	genic	12
1	11009778	11030779	intergenic	13
1	11030780	11032615	genic	14
1	11030780	11032615	genic-original	14
1	11032616	11357307	intergenic	18
1	11357308	11359548	genic	18
1	11357308	11359548	genic-original	18
1	11359549	11451845	intergenic	18
1	11451846	11452471	genic	5
1	11451846	11452471	genic-original	5
1	11452472	11458833	intergenic	13
1	11458834	11460696	genic	9
1	11458834	11462559	genic-original	10
1	11460697	11462559	genic	8
1	11462560	11464444	intergenic	11
1	11464445	11465569	genic	13
1	11464445	11478510	genic-original	16
1	11465570	11466694	genic	6
1	11466695	11478510	genic	11
1	11478511	11480253	intergenic	10
1	11480254	11481852	genic	7
1	11480254	11483450	genic-original	10
1	11481853	11483450	genic	6
1	11483451	11529868	intergenic	14
1	11529869	11531466	genic	7
1	11529869	11541207	genic-original	10
1	11531467	11533063	genic	6
1	11533064	11541207	genic	6
1	11541208	11585581	intergenic	13
1	11585582	11587483	genic	10
1	11585582	11587483	genic-original	10
1	11587484	11588258	intergenic	5
1	11588259	11589742	genic	5
1	11588259	11600127	genic-original	10
1	11589743	11591226	genic	7
1	11591227	11592710	genic	10
1	11592711	11594193	genic	6
1	11594194	11595677	genic	5
1	11595678	11597160	genic	4
1	11597161	11598644	genic	6
1	11598645	11600127	genic	7
1	11600128	11603897	intergenic	14
1	11603898	11605555	genic	6
1	11603898	11605555	genic-original	6
1	11605556	11607762	intergenic	10
1	11607763	11609314	genic	6
1	11607763	11609314	genic-original	6
1	11609315	11683749	intergenic	13
1	11683750	11684973	genic	7
1	11683750	11684973	genic-original	7
1	11684974	11711962	intergenic	12
1	11711963	11713089	genic	8
1	11711963	11714215	genic-original	11
1	11713090	11714215	genic	8
1	11714216	11715484	intergenic	8
1	11715485	11717847	genic	9
1	11715485	11717847	genic-original	9
1	11717848	11810569	intergenic	13
1	11810570	11811789	genic	7
1	11810570	11815446	genic-original	10
1	11811790	11813008	genic	8
1	11813009	11814227	genic	9
1	11814228	11815446	genic	10
1	11815447	11849605	intergenic	17
1	11849606	11850218	genic	5
1	11849606	11850218	genic-original	5
1	11850219	11872195	intergenic	11
1	11872196	11873559	genic	10
1	11872196	11877651	genic-original	11
1	11873560	11874923	genic	8
1	11874924	11876287	genic	8
1	11876288	11877651	genic	9
1	11877652	11887803	intergenic	11
1	11887804	11891478	genic	9
1	11887804	11891478	genic-original	9
1	11891479	11892466	intergenic	6
1	11892467	11893557	genic	3
1	11892467	11901187	genic-original	11
1	11893558	11894647	genic	7
1	11894648	11895737	genic	8
1	11895738	11896827	genic	5
1	11896828	11897917	genic	10
1	11897918	11899007	genic	5
1	11899008	11900097	genic	6
1	11900098	11901187	genic	5
1	11901188	11926521	intergenic	13
1	11926522	12001856	intergenic	15
1	12001857	12002693	genic	12
1	12001857	12002693	genic-original	12
1	12002694	12043036	intergenic	12
1	12043037	12093036	intergenic	12
1	12093037	12133379	intergenic	13
1	12133380	12138894	genic	6
1	12133380	12138894	genic-original	6
1	12138895	12200802	intergenic	14
1	12200803	12206835	genic	8
1	12200803	12206835	genic-original	8
1	12206836	12207490	intergenic	3
1	12207491	12208112	genic	3
1	12207491	12208112	genic-original	3
1	12208113	12259592	intergenic	14
1	12259593	12260896	genic	4
1	12259593	12260896	genic-original	4
1	12260897	12305538	intergenic	13
1	12305539	12307145	genic	9
1	12305539	12307145	genic-original	9
1	12307146	12349665	intergenic	13
1	12349666	12374666	intergenic	14
1	12374667	12399677	intergenic	15
1	12399678	12424678	intergenic	13
1	12424679	12449679	intergenic	16
1	12449680	12474680	intergenic	17
1	12474681	12574682	intergenic	16
1	12574683	12599683	intergenic	16
1	12599684	12624684	intergenic	15
1	12624685	12649685	intergenic	16
1	12649686	12674686	intergenic	16
1	12674687	12699687	intergenic	16
1	12699688	12742217	intergenic	16
1	12742218	12743110	genic	11
1	12742218	12743110	genic-original	11
1	12743111	12768107	intergenic	11
1	12768108	12769744	genic	8
1	12768108	12769744	genic-original	8
1	12769745	12817630	intergenic	14
1	12817631	12818756	genic	18
1	12817631	12818756	genic-original	18
1	12818757	12882751	intergenic	15
1	12882752	12884107	genic	6
1	12882752	12888172	genic-original	11
1	12884108	12885462	genic	6
1	12885463	12886817	genic	4
1	12886818	12888172	genic	7
1	12888173	12907258	intergenic	13
1	12907259	12909108	genic	6
1	12907259	12909108	genic-original	6
1	12909109	12919530	intergenic	14
1	12919531	12921236	genic	9
1	12919531	12929155	genic-original	10
1	12921237	12929155	genic	10
1	12929156	12966645	intergenic	15
1	12966646	12968088	genic	12
1	12966646	12968088	genic-original	12
1	12968089	12971255	intergenic	10
1	12971256	12972228	genic	8
1	12971256	12972228	genic-original	8
1	12972229	13023524	intergenic	16
1	13023525	13024708	genic	10
1	13023525	13028259	genic-original	13
1	13024709	13025892	genic	6
1	13025893	13027076	genic	10
1	13027077	13028259	genic	5
1	13028260	13030526	intergenic	13
1	13030527	13031197	genic	4
1	13030527	13031197	genic-original	4
1	13031198	13040053	intergenic	11
1	13040054	13040570	genic	3
1	13040054	13040570	genic-original	3
1	13040571	13057664	intergenic	12
1	13057665	13058181	genic	4
1	13057665	13058181	genic-original	4
1	13058182	13125310	intergenic	16
1	13125311	13126748	genic	18
1	13125311	13126748	genic-original	18
1	13126749	13228100	intergenic	18
1	13228101	13253101	intergenic	18
1	13253102	13278293	intergenic	18
1	13278294	13291779	genic	18
1	13278294	13291779	genic-original	18
1	13291780	13331292	intergenic	18
1	13331293	13332319	genic	11
1	13331293	13335397	genic-original	12
1	13332320	13333345	genic	6
1	13333346	13334371	genic	9
1	13334372	13335397	genic	10
1	13335398	13336734	intergenic	8
1	13336735	13337942	genic	8
1	13336735	13339150	genic-original	12
1	13337943	13339150	genic	10
1	13339151	13370227	intergenic	15
1	13370228	13372647	genic	9
1	13370228	13372647	genic-original	9
1	13372648	13377061	intergenic	13
1	13377062	13380286	genic	9
1	13377062	13380286	genic-original	9
1	13380287	13394638	intergenic	12
1	13394639	13395509	genic	7
1	13394639	13395509	genic-original	7
1	13395510	13396111	intergenic	9
1	13396112	13397573	genic	7
1	13396112	13399034	genic-original	10
1	13397574	13399034	genic	9
1	13399035	13404173	intergenic	11
1	13404174	13405702	genic	7
1	13404174	13405702	genic-original	7
1	13405703	13426357	intergenic	12
1	13426358	13428242	genic	8
1	13426358	13430127	genic-original	10
1	13428243	13430127	genic	9
1	13430128	13430729	intergenic	8
1	13430730	13433244	genic	9
1	13430730	13433244	genic-original	9
